model,start,end,bs,model,start,end,bs,median,mean,var
resnet50,0,9,1,vgg19,6,11,2,7844.0,7836.63,123.27284007436512
resnet50,12,17,1,vgg19,17,21,2,4932.5,4942.23,58.49356460329632
resnet50,13,17,1,vgg19,14,18,2,4064.5,4067.95,67.19216844246061
resnet50,3,8,1,vgg19,4,14,2,4714.5,4750.92,174.64190104324908
resnet50,10,17,1,vgg19,8,21,2,6671.0,6712.32,349.54032328187833
resnet50,7,12,1,vgg19,10,15,2,4958.0,4962.22,86.61242174191875
resnet50,1,12,1,vgg19,15,19,2,10197.5,10237.28,267.4270397697286
resnet50,5,11,1,vgg19,6,10,2,5750.5,5775.19,80.04507417699106
resnet50,9,16,1,vgg19,3,19,2,6661.5,6672.37,116.562828980769
resnet50,7,15,1,vgg19,13,17,2,7820.0,7845.23,85.65463852004747
resnet50,11,17,1,vgg19,2,16,2,5777.0,5782.85,70.9219817828013
resnet50,2,12,1,vgg19,11,21,2,9251.0,9299.89,319.067920512232
resnet50,9,15,1,vgg19,8,19,2,5809.5,5818.79,83.02750086567703
resnet50,10,16,1,vgg19,14,21,2,5879.5,5872.05,54.59439073751076
resnet50,6,17,1,vgg19,13,18,2,10362.5,10407.74,122.7420563621125
resnet50,11,16,1,vgg19,10,20,2,4932.0,4952.28,116.03155432898414
resnet50,6,10,1,vgg19,3,17,2,4094.0,4285.27,630.3819295474767
resnet50,1,6,1,vgg19,1,8,2,4707.0,4727.48,127.90218762789009
resnet50,2,10,1,vgg19,8,12,2,7549.0,7581.54,251.74123301517372
resnet50,12,16,1,vgg19,0,19,2,4235.5,4419.32,773.5897993122711
resnet50,5,12,1,vgg19,0,20,2,6722.5,6738.82,132.97506382777186
resnet50,12,17,1,vgg19,8,13,2,5005.0,5007.42,59.20695567245457
resnet50,1,5,1,vgg19,11,17,2,3840.5,3847.5,75.01246563072034
resnet50,11,16,1,vgg19,8,20,2,5053.0,5085.08,122.18311503640756
resnet50,1,8,1,vgg19,17,21,2,6439.0,6437.93,93.89219935649605
resnet50,13,17,1,vgg19,11,20,2,4237.0,4264.48,148.51036866158537
resnet50,4,13,1,vgg19,1,6,2,8604.0,8656.04,194.75476476841334
resnet50,2,12,1,vgg19,1,21,2,9295.5,9363.42,356.1869784256578
resnet50,3,10,1,vgg19,10,19,2,6753.0,6767.36,99.4943737102757
resnet50,7,14,1,vgg19,17,21,2,6686.5,6700.77,76.12343331721185
resnet50,7,12,1,vgg19,3,12,2,5006.0,5020.96,89.55511375683692
resnet50,2,15,1,vgg19,5,14,2,12112.0,12186.98,252.46857150940588
resnet50,7,16,1,vgg19,0,13,2,8751.5,8788.82,162.97523615568102
resnet50,6,12,1,vgg19,12,17,2,5819.5,5827.8,86.54940785470458
resnet50,5,16,1,vgg19,4,10,2,10391.0,10431.68,139.4292566142415
resnet50,6,16,1,vgg19,4,10,2,9515.0,9591.51,380.7950759923243
resnet50,6,15,1,vgg19,9,19,2,8642.5,8684.46,133.0906022226964
resnet50,0,12,1,vgg19,5,17,2,10493.0,10473.22,158.9485187096753
resnet50,2,12,1,vgg19,15,21,2,9256.5,9282.35,130.266908691348
